step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
57,14.25,9.34355469976984,19.531191712081597,0.0,-10.187637012311757,0.0,10.187637012311757,0,1.0007569,1.0025955,25.51033355554345,1.0007569,1.0013238,1.0017076,1.0019125,1.0021791,1.0023073,1.0025192,1.0025135,1.0025955,1.002458,1.0024259
58,14.5,9.279955435926352,17.050960872047668,0.0,-7.771005436121316,0.0,7.771005436121316,0,1.0005634,1.0018522,18.38206624788261,1.0005634,1.0009727,1.0012236,1.0013397,1.0015452,1.0016418,1.0018106,1.0018033,1.0018522,1.0017517,1.0017196
59,14.75,9.92259881352281,17.764767890486716,0.0,-7.842169076963906,0.0,7.842169076963906,0,1.0005678,1.0018274,17.02237720739866,1.0005678,1.0009701,1.0012051,1.0013112,1.0014892,1.0015624,1.0017587,1.0017701,1.0018274,1.001708,1.001676
60,15.0,9.732583760689737,16.59747065501966,0.0,-6.864886894329922,0.0,6.864886894329922,0,1.0004898,1.001599,14.134471275489068,1.0004898,1.0008578,1.0010835,1.0011797,1.0013275,1.0013937,1.0015612,1.0015504,1.001599,1.0014719,1.0014398
61,15.25,9.645895734386256,15.78115169045061,0.0,-6.135255956064354,0.0,6.135255956064354,0,1.0004315,1.0012604,11.668282768135048,1.0004315,1.0007393,1.00091,1.0009679,1.0010887,1.0011085,1.0012343,1.0012189,1.0012604,1.0011553,1.0011232
62,15.5,9.49929003222772,9.926999509440668,0.0,-0.4277094772129484,0.0,0.4277094772129484,0,0.99924,0.9999734,-8.835456273970697,0.9999734,0.9999239,0.99981004,0.9996717,0.99959975,0.999528,0.9995418,0.9994485,0.9993884,0.9992721,0.99924
63,15.75,9.365310273463061,12.525642705505236,0.0,-3.160332432042175,0.0,3.160332432042175,0,0.999905,1.0002978,-2.318098060435233,1.0001934,1.0002978,1.0002968,1.0002009,1.000201,1.0001434,1.0001888,1.0001025,1.0000774,0.9999371,0.999905
64,16.0,8.672407926554408,10.142693569078983,0.0,-1.4702856425245745,0.0,1.4702856425245745,0,0.9992499,1.000059,-6.099194807042375,1.000059,1.0000417,0.99995416,0.9998214,0.9997362,0.99961853,0.9995966,0.99947333,0.9994108,0.999282,0.9992499
65,16.25,9.090767462916176,9.443609884029417,0.0,-0.35284242111324104,0.0,0.35284242111324104,0,0.99904674,0.9999683,-11.01808363848994,0.9999683,0.9998997,0.9997687,0.99959415,0.99948627,0.99937886,0.99937034,0.99926883,0.99921554,0.99907887,0.99904674
66,16.5,8.976694620704533,6.605775566831475,2.3709190538730587,2.3709190538730587,2.3709190538730587,0.0,0,0.99783564,0.99974924,-23.67200629783472,0.99974924,0.99947006,0.9991731,0.9988758,0.99864763,0.99845326,0.9983462,0.99816096,0.99803275,0.9978678,0.99783564
67,16.75,8.779932952509299,5.11344470538897,3.666488247120329,3.666488247120329,3.666488247120329,0.0,0,0.9977043,0.9996454,-27.91093880627226,0.9996454,0.999296,0.9989491,0.99864274,0.9984113,0.9982131,0.99809253,0.9979484,0.9978568,0.99773645,0.9977043
68,17.0,9.757799276213623,4.445054503953067,5.312744772260556,5.312744772260556,5.312744772260556,0.0,0,0.997081,0.9995105,-39.02941506376783,0.9995105,0.9990572,0.99861103,0.9982002,0.9978671,0.99761546,0.99747974,0.99732953,0.99723625,0.99711317,0.997081
69,17.25,11.114554300816264,4.004082531023466,7.110471769792799,7.110471769792799,7.110471769792799,0.0,0,0.9962199,0.9993624,-50.27826823850925,0.9993624,0.99874616,0.9981586,0.99766976,0.9972712,0.99696535,0.9967719,0.9965667,0.99639463,0.99625206,0.9962199
70,17.5,10.930557206324629,0.42524244570096387,10.505314760623666,10.505314760623666,10.505314760623666,0.0,0,0.9950092,0.9990886,-73.53720332436565,0.9990886,0.998254,0.99751323,0.9968936,0.99634427,0.99595815,0.9956538,0.9953861,0.99517787,0.99504143,0.9950092
71,17.75,12.560443658978215,0.0,12.560443658978215,12.560443658978215,12.560443658978215,0.0,0,0.99427885,0.99891865,-87.92310561284754,0.99891865,0.9979169,0.99698675,0.9962457,0.99559015,0.9951571,0.9948704,0.9946262,0.9944293,0.9943111,0.99427885
