step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
61,15.25,7.073656871883257,15.78115169045061,0.0,-8.707494818567353,0.0,8.707494818567353,0,1.0006433,1.0023612,24.54830774295565,1.0006433,1.0011405,1.0014802,1.0016811,1.0019282,1.0020474,1.0022444,1.0022819,1.0023612,1.0022756,1.0022435
62,15.5,6.966146023633662,9.926999509440668,0.0,-2.9608534858070055,0.0,2.9608534858070055,0,1.0001825,1.0004846,3.5800249019880255,1.0001825,1.0003138,1.000362,1.0003575,1.0004015,1.0004117,1.0004846,1.0004438,1.0004275,1.0003338,1.0003016
63,15.75,6.867894200539579,12.525642705505236,0.0,-5.657748504965657,0.0,5.657748504965657,0,1.0003992,1.0011897,10.992712697259469,1.0003992,1.0006896,1.0008575,1.0009114,1.0010357,1.001075,1.0011897,1.0011635,1.0011822,1.0010709,1.0010388
64,16.0,6.359765812806565,10.142693569078983,0.0,-3.782927756272418,0.0,3.782927756272418,0,1.0002499,1.0005441,5.80518662483563,1.0002499,1.0004086,1.0004792,1.000481,1.0005176,1.0004957,1.0005441,1.0004821,1.0004647,1.0003618,1.0003297
65,16.25,6.666562806138529,9.443609884029417,0.0,-2.777047077890888,0.0,2.777047077890888,0,1.0001136,1.000316,1.4895966809238501,1.0001684,1.0002772,1.000306,1.0002698,1.0002823,1.000263,1.000316,1.0002675,1.0002544,1.0001457,1.0001136
66,16.5,6.582909388516658,6.605775566831475,0.0,-0.022866178314816743,0.0,0.022866178314816743,0,0.9989532,0.9999472,-9.7669063043103,0.9999472,0.99985105,0.999718,0.9995617,0.99945617,0.99935275,0.9993133,0.99919313,0.99911475,0.99898535,0.9989532
67,16.75,6.438617498506818,5.11344470538897,1.325172793117848,1.325172793117848,1.325172793117848,0.0,0,0.9987129,0.9998391,-13.82772910979241,0.9998391,0.99966484,0.9994739,0.9992951,0.9991713,0.9990544,0.9989943,0.9988988,0.99884176,0.998745,0.9987129
68,17.0,7.155719469223324,4.445054503953067,2.710664965270257,2.710664965270257,2.710664965270257,0.0,0,0.99819195,0.999726,-22.07798255293009,0.999726,0.9994637,0.9991905,0.9989282,0.9987228,0.9985619,0.9984859,0.9983835,0.9983229,0.99822414,0.99819195
69,17.25,8.150673153931928,4.004082531023466,4.146590622908462,4.146590622908462,4.146590622908462,0.0,0,0.9975191,0.9996081,-30.132077825377092,0.9996081,0.9992186,0.9988356,0.99851155,0.9982536,0.99804986,0.99792844,0.9977842,0.9976642,0.99755126,0.9975191
70,17.5,8.015741951304728,0.42524244570096387,7.590499505603764,7.590499505603764,7.590499505603764,0.0,0,0.9962863,0.99933064,-53.13349653922635,0.99933064,0.9987171,0.99817085,0.9977129,0.99730647,0.9970181,0.9967897,0.99658656,0.996427,0.9963185,0.9962863
71,17.75,9.210992016584028,0.0,9.210992016584028,9.210992016584028,9.210992016584028,0.0,0,0.9957106,0.99919707,-64.47694411608818,0.99919707,0.99845356,0.9977626,0.9972113,0.9967225,0.9963968,0.99617827,0.9959908,0.99583805,0.99574286,0.9957106
72,18.0,9.994082368509337,0.0,9.994082368509337,9.994082368509337,9.994082368509337,0.0,0,0.99532795,0.999132,-133.9207037380251,0.999132,0.9983376,0.99758804,0.9969845,0.9964433,0.9960765,0.9958349,0.9956258,0.9954674,0.9953602,0.99532795
73,18.25,10.606818500021683,0.2821969940936232,10.32462150592806,10.32462150592806,10.32462150592806,0.0,0,0.99520975,0.99910384,-138.34992817943598,0.99910384,0.99826115,0.997467,0.99684936,0.996289,0.99591726,0.995665,0.995468,0.99533606,0.995242,0.99520975
74,18.5,10.296682631612653,1.213115080313017,9.083567551299636,9.083567551299636,9.083567551299636,0.0,0,0.9955561,0.99920475,-121.71980518741512,0.99920475,0.99844795,0.9977168,0.9971459,0.996623,0.99626637,0.99604225,0.995843,0.995693,0.99558836,0.9955561
75,18.75,11.64070492170671,0.0,11.64070492170671,11.64070492170671,11.64070492170671,0.0,0,0.99451184,0.99899495,-155.98544595086992,0.99899495,0.99804974,0.99716836,0.9964636,0.9958161,0.99538374,0.99510795,0.9948529,0.99466056,0.99454415,0.99451184
76,19.0,12.517754678518246,0.2843623285282755,12.23339234998997,12.23339234998997,12.23339234998997,0.0,0,0.9938648,0.9989447,-163.92745748986562,0.9989447,0.99794036,0.9969947,0.996245,0.9955132,0.9949938,0.9946408,0.99431694,0.9940632,0.9938971,0.9938648
77,19.25,13.908797060729146,0.0,13.908797060729146,13.908797060729146,13.908797060729146,0.0,0,0.99316186,0.9988057,-186.37788061377051,0.9988057,0.9976669,0.9965719,0.9957121,0.9948927,0.99433416,0.99394244,0.99360013,0.9933513,0.99319416,0.99316186
78,19.5,15.26694222049176,1.5809741984434267,13.685968022048334,13.685968022048334,13.685968022048334,0.0,0,0.9931554,0.9988207,-183.39197149544768,0.9988207,0.99770075,0.99661034,0.99573094,0.9949289,0.9943451,0.9939595,0.99361557,0.993364,0.9931877,0.9931554
79,19.75,16.41090583402695,2.4160171646399364,13.994888669387013,13.994888669387013,13.994888669387013,0.0,0,0.99300885,0.9987931,-187.53150816978598,0.9987931,0.99764115,0.9965373,0.99564624,0.9948171,0.99421144,0.9938312,0.9934719,0.9932165,0.99304116,0.99300885
80,20.0,18.382105112200517,0.0,18.382105112200517,18.382105112200517,18.382105112200517,0.0,0,0.99097407,0.9984322,-246.32020850348695,0.9984322,0.996958,0.9955562,0.994426,0.99336517,0.9925885,0.99203897,0.9915674,0.9912237,0.9910065,0.99097407
81,20.25,20.26349735947724,0.9227790164093237,19.340718343067916,19.340718343067916,19.340718343067916,0.0,0,0.99066395,0.99835026,-259.16562579711007,0.99835026,0.9968085,0.99536586,0.9941997,0.99312705,0.99233705,0.9917869,0.9912943,0.99093354,0.9906964,0.99066395
82,20.5,20.62672553898027,0.0,20.62672553898027,20.62672553898027,20.62672553898027,0.0,0,0.9903915,0.9982452,-276.3981222223357,0.9982452,0.9966206,0.9951035,0.99389195,0.99278635,0.9919984,0.99145776,0.9909959,0.9906515,0.9904239,0.9903915
83,20.75,21.832673331171275,0.0,21.832673331171275,21.832673331171275,21.832673331171275,0.0,0,0.9895254,0.9981437,-292.5578226376951,0.9981437,0.9964175,0.9948096,0.9934818,0.9922604,0.9913585,0.9907428,0.9902156,0.98980254,0.9895578,0.9895254
84,21.0,22.78498534980213,1.3342496513432707,21.45073569845886,21.45073569845886,21.45073569845886,0.0,0,0.9894432,0.9981723,-287.4398583593487,0.9981723,0.99646705,0.9948834,0.9935343,0.9923109,0.9913674,0.9907143,0.9901587,0.9897466,0.9894756,0.9894432
85,21.25,22.831356879593365,0.0,22.831356879593365,22.831356879593365,22.831356879593365,0.0,0,0.98902124,0.9980601,-305.94018218655117,0.9980601,0.99629873,0.9946684,0.99328274,0.9920369,0.99104404,0.99034655,0.98976344,0.98933345,0.98905367,0.98902124
86,21.5,21.669837701428047,0.0,21.669837701428047,21.669837701428047,21.669837701428047,0.0,0,0.98915184,0.9981566,-290.3758251991359,0.9981566,0.9964528,0.9948807,0.9934996,0.9922599,0.99123,0.99052024,0.98991954,0.98946595,0.98918426,0.98915184
87,21.75,21.764224568569954,0.0,21.764224568569954,21.764224568569954,21.764224568569954,0.0,0,0.98919624,0.9981492,-291.64060921883737,0.9981492,0.99648654,0.994985,0.9936446,0.9924646,0.9914411,0.99068016,0.99002194,0.98953307,0.9892287,0.98919624
88,22.0,20.345590516347603,0.7773626064845259,19.568227909863076,19.568227909863076,19.568227909863076,0.0,0,0.9901719,0.9983314,-262.21425399216525,0.9983314,0.9968469,0.99552965,0.9943197,0.99325895,0.99232316,0.9916011,0.99100465,0.99052584,0.99020433,0.9901719
89,22.25,19.90186145646572,0.0,19.90186145646572,19.90186145646572,19.90186145646572,0.0,0,0.98997664,0.9983053,-266.6849435166406,0.9983053,0.9968208,0.99551696,0.994299,0.99324167,0.9922868,0.99151236,0.9908684,0.9903552,0.99000907,0.98997664
90,22.5,16.90707680814772,0.0,16.90707680814772,16.90707680814772,16.90707680814772,0.0,0,0.99187577,0.9985564,-226.55482922917946,0.9985564,0.9973342,0.9963082,0.99531734,0.9944959,0.993707,0.9930848,0.9925915,0.99218374,0.99190813,0.99187577
91,22.75,16.03523462810944,0.0,16.03523462810944,16.03523462810944,16.03523462810944,0.0,0,0.9924504,0.9986294,-214.8721440166665,0.9986294,0.997481,0.9965125,0.9955763,0.99484,0.9941457,0.9935575,0.99310195,0.9927309,0.9924827,0.9924504
92,23.0,15.669474697523125,0.0,15.669474697523125,15.669474697523125,15.669474697523125,0.0,0,0.9932078,0.9986606,-65.81179372959711,0.9986606,0.99755025,0.9966496,0.99581504,0.99518466,0.99462014,0.99412924,0.9937476,0.99344504,0.9932401,0.9932078
93,23.25,13.789341166984345,1.7270696951004818,12.062271471883863,12.062271471883863,12.062271471883863,0.0,0,0.9949533,0.99895716,-50.661540181912216,0.99895716,0.9981321,0.9974894,0.996865,0.99643606,0.9960407,0.9956867,0.9954084,0.9951752,0.9949856,0.9949533
94,23.5,12.416659303907938,1.5751999866647095,10.841459317243228,10.841459317243228,10.841459317243228,0.0,0,0.9956122,0.99905896,-45.53412913242156,0.99905896,0.9983091,0.99774456,0.9971952,0.9968325,0.996499,0.99621844,0.99599516,0.99580336,0.9956444,0.9956122
95,23.75,9.789291035339524,0.0,9.789291035339524,9.789291035339524,9.789291035339524,0.0,0,0.99636304,0.99914986,-41.115022348425995,0.99914986,0.99847937,0.99796927,0.9975022,0.9971885,0.99694216,0.99674135,0.9966108,0.99649525,0.99639523,0.99636304
